Champions des Feuersturms, Champions of the Firestorm, Champions de la Tempête de feu, fire
Jagd: Bedrohung der Bäume, Hunt: Arboreal Menace, Chasse : Menace arboricole, life
Jagd: Schmelzpunkt, Hunt: Melting Point, Chasse : Point de fusion, fire
Makabres Festmahl, The Macabre Feast, Le festin macabre, death
Jagd: Furcht vor der Freiheit, Hunt: Fear From Freedom, Chasse : La peur de la liberté, earth
Jagd: Geistesabwesend, Hunt: Pay No Mind, Chasse : Fermer les yeux, air
Unterm Tisch, Under the Table, Sous la table, life
Brodelnder Ehrgeiz, Boiling Ambition, Ambition bouillonnante, water
Böses Erwachen, Rude Awakening, Réveil difficile, life
Exuvie von Khargroth, The Exuvia of Khargroth, L\'Exuvie de Khargroth, unknown
Die steigenden Tiefen, The Rising Depths, Le Soulèvement des profondeurs, water
Da erklang solch ein Rumpeln, There Arose Such A Clatter, Un grand fracas se fit alors entendre, air
Instabil: Glutinsel, Unstable Ember Isle, Île de Braise instable, unknown
Instabil: Schimmersand, Unstable Shimmersand, Sable-chatoyant instable, unknown
Instabil: Kap Jul, Unstable Cape Jule, Cap Yule instable, unknown
Instabil: Ashora, Unstable Ashora, Ashora instable, unknown
Instabil: Wundwaldregion, Unstable Scarwood Reach, Étendue de Bois Meurtris instable, unknown
Instabil: Steppen der Unendlichkeit, Unstable Steppes of Infinity, Steppes de l\'Infini instables, unknown
Instabil: Stadtkern, Unstable City Core, Cœur de la Cité instable, unknown
Instabil: Königszirkel, Unstable Kingsward, Protectorat du Roi instable, unknown
Instabil: Steinfeld, Unstable Stonefield, Champ de Pierre instable, unknown
Instabil: Stillmoor, Unstable Stillmoor, Mornelande instable, unknown
Instabil: Morban, Unstable Morban, Morban instable, unknown
Instabil: Freimark, Unstable Freemarch, Libremarche instable, unknown
Instabil: Dendrom, Unstable Dendrome, Rhizome instable, unknown
Instabil: Eisenkieferngipfel, Unstable Iron Pine Peak, Pic du Pin de fer instable, unknown
Instabil: Östliche Besitztümer, Unstable Eastern Holdings, Fiefs de l\'Orient instables, unknown
Instabil: Eiferer-Reich, Unstable Ardent Domain, Contrée Ardente instable, unknown
Instabil: Scharlachrote Schlucht, Unstable Scarlet Gorge, Gorges Écarlates instables, unknown
Instabil: Dämmerwald, Unstable Gloamwood, Bois du Crépuscule instable, unknown
Instabil: Seratos, Unstable Seratos, Serratos instable, unknown
Instabiles Königreich Pelladane, Unstable Kingdom of Pelladane, Royaume instable de Pelladane, unknown
Instabil: Ödlande, Unstable Droughtlands, Plaines Arides instables, unknown
Instabil: Silberwald, Unstable Silverwood, Bois d\'Argent instable, unknown
Paradetag!, Parade Day!, Jour de la Parade !, unknown
Instabil: Mondschattenberge, Unstable Moonshade Highlands, Hautes-Terres d\'Ombrelune instables, unknown
Blutfeuer-Ungetüm, Bloodfire Behemoth, Béhémoth feu-sanglant, fire
Die Blutfeuer-Armee, The Bloodfire Army, L\'Armée feu-sanglant, fire
Macht der Albträume, Power of Nightmares, Puissance des cauchemars, water
Unnatürliche Artenbildung, Unnatural Speciation, Spéciation surnaturelle, fire
Hufe und Hörner, Hooves and Horns, Des sabots et des cornes, unknown
Aggressive Kolonisierung, Aggressive Colonization, Colonisation agressive, fire
Champions von Hammerhall, Champions of Hammerknell, Les Champions de Glasmarteau, water
Nachtschrecken, Night Terrors, Terreurs nocturnes, water
Festung der Brutmutter, Fortress of the Broodmother, Forteresse de la Matriarche, unknown
Heulender Zorn, Howling Fury, Fureur mugissante, air
Ranken der Erneuerung, Tendrils of Renewal, Vrilles du renouveau, life
Brustwehr der Fülle, Parapet of Plenty, Parapet de l\'Abondance, unknown
Bollwerk der Knochen, Bulwark of Bones, Rempart d\'os, unknown
Flammenwelle, Flame Wave, Vague de flammes, unknown
Erdrückende Kraft, Crushing Force, Force écrasante, earth
Terror aus den Tiefen, Terror From the Depths, Terreur des profondeurs, water
Lager der Legion, Encampment of the Legion, Campement de la Légion, unknown
Hörner der Verdammnis, Horns of Doom, Les cors de la destruction, death
Bataillon der Flamme, Battalion of Flame, Bataillon de la Flamme, fire
Azurfestigkeit, Azure Fastness, Vivacité azur, unknown
Geschmolzene Festung, Molten Keep, Donjon en fusion, unknown
Schloss des Korsaren, Corsair\'s Castle, Château du corsaire, unknown
Kristalline Schanze, Crystalline Redoubt, Redoute cristalline, unknown
Aquium-Zitadelle, Aquium Citadel, Citadelle d\'Aquium, unknown
Aphogglach, Aphogglach, Aphogglach, unknown
Leviathan, Leviathan, Léviathan, water
Der Gefräßige Verschlinger, The Ravenous Devourer, Le Dévoreur vorace, water
Dunkelheit aus der Tiefe, Darkness from the Depths, Ténèbres des Profondeurs, unknown
Sankt Carwin Mathos, Saint Carwin Mathos, unknown
Die Wiedergeburt der Legion, Rebirth of the Legion, Renaissance de la Légion, air
Feuersturm, Fire Storm, Tempête de feu, fire
Irdener Angriff, Earthen Assault, Assaut de Terre, earth
Die Welle der Zerstörung, Tide of Destruction, Marée de la destruction, water
Feen-Julfestgeschenke: Silberwald, Fae Yule Gifts: Silverwood, Cadeaux de la Fête de l\'hiver : Bois d\'Argent, unknown
Feen-Julfestgeschenke: Ashora, Fae Yule Gifts: Ashora, Cadeaux de la Fête de l\'hiver : Ashora, unknown
Feen-Julfestgeschenke: Wundwaldregion, Fae Yule Gifts: Scarwood Reach, Cadeaux de la Fête de l\'hiver : Étendue de Bois Meurtris, unknown
Feen-Julfestgeschenke: Königreich Pelladane, Fae Yule Gifts: Kingdom of Pelladane, Cadeaux de la Fête de l\'hiver : Royaume de Pelladane, unknown
Feen-Julfestgeschenke: Kap Jul, Fae Yule Gifts: Cape Jule, Cadeaux de la Fête de l\'hiver : Cap Yule, unknown
Feen-Julfestgeschenke: Freimark, Fae Yule Gifts: Freemarch, Cadeaux de la Fête de l\'hiver : Libremarche, unknown
Ein Schwarm Krallen, Swarm of Talons, Des serres par centaines, unknown
Kosmische Leere, Cosmic Void, Vide cosmique, death
Zyklonischer Konflikt, Cyclonic Conflict, Conflit cyclonique, air
Plattenverschiebung, Tectonic Drift, Dérive tectonique, earth
Kauterisierte Kalamität, Cauterized Calamity, Calamité et cautérisation, fire
Grausiger Gartenbau, Horrific Horticulture, Horticulture terrifiante, life
Kometeneis, Cometary Ice, Glace cométaire, water
Xarths Schädel knacken, Cracking Xarth\'s Skull, Fracasser le Crâne de Xarth, life
Sieg in Xarths Schädel, Victory at Xarth\'s Skull, Victoire au Crâne de Xarth, unknown
Das prekäre Gleichgewicht: Crucia, Tipping the Scale: Crucia, Équilibrage : Crucia, unknown
Tenebrische Rauferei, Tenebrean Tussle, Conflit ténébréen, unknown
Legion des Sturms, Legion of Storm, Légion de la Tempête, unknown
Assimilieren und Zerstören, Assimilate and Destroy, Assimilation et destruction, unknown
Der Sturmherr zieht auf, The Tempest Rises, La Tempête gronde, unknown
Das prekäre Gleichgewicht: Ahnket, Tipping the Scale: Ahnket, Équilibrage : Ahnket, unknown
